date,country,total_cases,new_cases,total_deaths,people_vaccinated,data
2020-01-01,Canada,0.0,0.0,0.0,0.0,2020-01-01
2020-01-02,Canada,0.0,0.0,0.0,0.0,2020-01-02
2020-01-03,Canada,0.0,0.0,0.0,0.0,2020-01-03
2020-01-04,Canada,0.0,0.0,0.0,0.0,2020-01-04
2020-01-05,Canada,0.0,0.0,0.0,0.0,2020-01-05
2020-01-06,Canada,0.0,0.0,0.0,0.0,2020-01-06
2020-01-07,Canada,0.0,0.0,0.0,0.0,2020-01-07
2020-01-08,Canada,0.0,0.0,0.0,0.0,2020-01-08
2020-01-09,Canada,0.0,0.0,0.0,0.0,2020-01-09
2020-01-10,Canada,0.0,0.0,0.0,0.0,2020-01-10
2020-01-11,Canada,0.0,0.0,0.0,0.0,2020-01-11
2020-01-12,Canada,0.0,0.0,0.0,0.0,2020-01-12
2020-01-13,Canada,0.0,0.0,0.0,0.0,2020-01-13
2020-01-14,Canada,0.0,0.0,0.0,0.0,2020-01-14
2020-01-15,Canada,0.0,0.0,0.0,0.0,2020-01-15
2020-01-16,Canada,0.0,0.0,0.0,0.0,2020-01-16
2020-01-17,Canada,0.0,0.0,0.0,0.0,2020-01-17
2020-01-18,Canada,0.0,0.0,0.0,0.0,2020-01-18
2020-01-19,Canada,0.0,0.0,0.0,0.0,2020-01-19
2020-01-20,Canada,0.0,0.0,0.0,0.0,2020-01-20
2020-01-21,Canada,0.0,0.0,0.0,0.0,2020-01-21
2020-01-22,Canada,0.0,0.0,0.0,0.0,2020-01-22
2020-01-23,Canada,0.0,0.0,0.0,0.0,2020-01-23
2020-01-24,Canada,0.0,0.0,0.0,0.0,2020-01-24
2020-01-25,Canada,0.0,0.0,0.0,0.0,2020-01-25
2020-01-26,Canada,1.0,1.0,0.0,0.0,2020-01-26
2020-01-27,Canada,1.0,0.0,0.0,0.0,2020-01-27
2020-01-28,Canada,2.0,1.0,0.0,0.0,2020-01-28
2020-01-29,Canada,2.0,0.0,0.0,0.0,2020-01-29
2020-01-30,Canada,3.0,1.0,0.0,0.0,2020-01-30
2020-01-31,Canada,3.0,0.0,0.0,0.0,2020-01-31
2020-02-01,Canada,4.0,1.0,0.0,0.0,2020-02-01
2020-02-02,Canada,4.0,0.0,0.0,0.0,2020-02-02
2020-02-03,Canada,4.0,0.0,0.0,0.0,2020-02-03
2020-02-04,Canada,8.0,4.0,0.0,0.0,2020-02-04
2020-02-05,Canada,9.0,1.0,0.0,0.0,2020-02-05
2020-02-06,Canada,9.0,0.0,0.0,0.0,2020-02-06
2020-02-07,Canada,5.0,0.0,0.0,0.0,2020-02-07
2020-02-08,Canada,7.0,2.0,0.0,0.0,2020-02-08
2020-02-09,Canada,7.0,0.0,0.0,0.0,2020-02-09
2020-02-10,Canada,7.0,0.0,0.0,0.0,2020-02-10
2020-02-11,Canada,7.0,0.0,0.0,0.0,2020-02-11
